3 Biotech,3 Biotech,,2190-5738,Jul 2011,
The AAPS Journal,AAPS J,,1550-7416,Sep 2004,
AAPS PharmSciTech,AAPS PharmSciTech,,1530-9932,Mar 2000,
ACS Chemical Neuroscience,ACS Chem Neurosci,,1948-7193,Jan 2010,
ACS Medicinal Chemistry Letters,ACS Med Chem Lett,,1948-5875,Apr 2010,
Acta Biochimica et Biophysica Sinica,Acta Biochim Biophys Sin (Shanghai),1672-9145,1745-7270,Jan 2009,
Acta Crystallographica Section A: Foundations of Crystallography,Acta Crystallogr A,0108-7673,1600-5724,May 2008,
"Acta Crystallographica. Section A, Foundations and Advances",Acta Crystallogr A Found Adv,,2053-2733,May 2008,
Acta Crystallographica Section B: Structural Science,Acta Crystallogr B,0108-7681,1600-5740,Apr 2008,
"Acta Crystallographica Section B, Structural Science, Crystal Engineering and Materials",Acta Crystallogr B Struct Sci Cryst Eng Mater,2052-5192,2052-5206,Apr 2008,
Acta Crystallographica Section C: Crystal Structure Communications,Acta Crystallogr C,0108-2701,1600-5759,Apr 2008,
Acta Crystallographica Section D: Biological Crystallography,Acta Crystallogr D Biol Crystallogr,0907-4449,1399-0047,Apr 2008,
Acta Crystallographica Section E: Structure Reports Online,Acta Crystallogr Sect E Struct Rep Online,,1600-5368,Jan 2008,
Acta Cytologica,Acta Cytol,0001-5547,1938-2650,Nov 2010,May 2012
Acta Haematologica,Acta Haematol,0001-5792,1421-9662,Oct 2009,May 2012
Acta Histochemica et Cytochemica,Acta Histochem Cytochem,0044-5991,1347-5800,Mar 2006,
Acta Informatica Medica,Acta Inform Med,0353-8109,1986-5988,2008,
Acta Myologica,Acta Myol,1128-2460,,Jul 2007,
Acta Naturae,Acta Naturae,2075-8251,,Apr 2009,
Acta Neuropathologica Communications,Acta Neuropathol Commun,,2051-5960,2013,
Acta Orthopaedica,Acta Orthop,1745-3674,1745-3682,Feb 2009,
Acta Ortopedica Brasileira,Acta Ortop Bras,1413-7852,1809-4406,2012,
Acta Otorhinolaryngologica Italica,Acta Otorhinolaryngol Ital,0392-100X,1827-675X,Feb 2005,
Acta Radiologica Short Reports,Acta Radiol Short Rep,,2047-9816,Feb 2012,
Acta Veterinaria Scandinavica,Acta Vet Scand,0044-605X,1751-0147,2001,
Addiction & Health,Addict Health,2008-4633,2008-8469,Jun 2009,
Addiction Science & Clinical Practice,Addict Sci Clin Pract,1940-0632,1940-0640,Dec 2007,
Adipocyte,Adipocyte,2162-3945,2162-397X,Jan 2012,
"Adolescent Health, Medicine and Therapeutics",Adolesc Health Med Ther,,1179-318X,2010,
Advances and Applications in Bioinformatics and Chemistry : AABC,Adv Appl Bioinform Chem,,1178-6949,2008,
Advances in Bioinformatics,Adv Bioinformatics,1687-8027,1687-8035,2008,
Advanced Biomedical Research,Adv Biomed Res,,2277-9175,Jan 2012,
Advances in Cognitive Psychology,Adv Cogn Psychol,,1895-1171,2007,
Advances in Dental Research,Adv Dent Res,0895-9374,1544-0737,Jun 2010,
Advances in Hematology,Adv Hematol,1687-9104,1687-9112,2009,
Advances in Medical Education and Practice,Adv Med Educ Pract,,1179-7258,2010,
Advances in Nutrition,Adv Nutr,2161-8313,2156-5376,Nov 2010,
Advances in Orthopedics,Adv Orthop,2090-3464,2090-3472,2011,
Advanced Pharmaceutical Bulletin,Adv Pharm Bull,2228-5881,2251-7308,Jun 2011,
Advances in Pharmacological Sciences,Adv Pharmacol Sci,1687-6334,1687-6342,2008,
Advances in Physiology Education,Adv Physiol Educ,1043-4046,1522-1229,Sep 2008,
Advances in Preventive Medicine,Adv Prev Med,2090-3480,2090-3499,2011,
Advances in Urology,Adv Urol,1687-6369,1687-6377,2008,
Advances in Virology,Adv Virol,1687-8639,1687-8647,2009,
Advances in Wound Care,Adv Wound Care (New Rochelle),2162-1918,2162-1934,Jun 2008,
African Health Sciences,Afr Health Sci,1680-6905,1729-0503,Aug 2001,
African Journal of Infectious Diseases,Afr J Infect Dis,2006-0165,,2010,
"African Journal of Traditional, Complementary, and Alternative Medicines",Afr J Tradit Complement Altern Med,,0189-6016,2007,
Age,Age (Dordr),0161-9152,1574-4647,Mar 2005,
Age and Ageing,Age Ageing,0002-0729,1468-2834,Aug 2008,
Aging (Albany NY),Aging (Albany NY),,1945-4589,Jan 2009,
Aging and Disease,Aging Dis,,2152-5250,Aug 2010,
AIDS Patient Care and STDs,AIDS Patient Care STDS,1087-2914,1557-7449,May 2008,
AIDS Research and Human Retroviruses,AIDS Res Hum Retroviruses,0889-2229,1931-8405,Jun 2008,
AIDS Research and Therapy,AIDS Res Ther,,1742-6405,2004,
AIDS Research and Treatment,AIDS Res Treat,2090-1240,2090-1259,2010,
AIP Advances,AIP Adv,,2158-3226,Apr 2008,
AJP Reports,AJP Rep,2157-6998,2157-7005,Sep 2011,
"Alcohol and Alcoholism (Oxford, Oxfordshire)",Alcohol Alcohol,0735-0414,1464-3502,Aug 2008,
Alcohol Research : Current Reviews,Alcohol Res,2168-3492,2169-4796,2012,
Algorithms for Molecular Biology : AMB,Algorithms Mol Biol,,1748-7188,2006,
"Allergy, Asthma, and Clinical Immunology : Official Journal of the Canadian Society of Allergy and Clinical Immunology",Allergy Asthma Clin Immunol,1710-1484,1710-1492,2005,
"Allergy, Asthma & Immunology Research",Allergy Asthma Immunol Res,2092-7355,2092-7363,Oct 2009,
Allergy and Asthma Proceedings,Allergy Asthma Proc,1088-5412,1539-6304,Jan 2012,
Allergy & Rhinology,Allergy Rhinol (Providence),2152-6575,2152-6567,Jan 2011,
Alzheimer's Research & Therapy,Alzheimers Res Ther,,1758-9193,2009,
American Health & Drug Benefits,Am Health Drug Benefits,1942-2962,1942-2970,Feb 2008,
American Journal of Blood Research,Am J Blood Res,,2160-1992,2011,
American Journal of Cancer Research,Am J Cancer Res,,2156-6976,2011,
American Journal of Cardiovascular Disease,Am J Cardiovasc Dis,,2160-200X,2011,
The American Journal of Case Reports,Am J Case Rep,,1941-5923,2012,
American Journal of Clinical and Experimental Immunology,Am J Clin Exp Immunol,,2164-7712,2012,
The American Journal of Clinical Nutrition,Am J Clin Nutr,0002-9165,1938-3207,Jan 2009,
American Journal of Epidemiology,Am J Epidemiol,0002-9262,1476-6256,Aug 2008,
American Journal of Human Genetics,Am J Hum Genet,0002-9297,1537-6605,Sep 1949,
American Journal of Hypertension,Am J Hypertens,0895-7061,1941-7225,Oct 2012,
American Journal of Nephrology,Am J Nephrol,0250-8095,1421-9670,Jan 2008,May 2012
American Journal of Neurodegenerative Disease,Am J Neurodegener Dis,,2165-591X,2012,
American Journal of Nuclear Medicine and Molecular Imaging,Am J Nucl Med Mol Imaging,,2160-8407,2011,
The American Journal of Occupational Therapy,Am J Occup Ther,0272-9490,1943-7676,Jan 2013,
